Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

[godot_ai game_helper] registered mcp capture (debugger active=false, logger=true)
[RUN] suites=test_engine2_damage
[PASS] test_engine2_damage.gd.test_a_bypassing_hit_lands_on_the_hull
[PASS] test_engine2_damage.gd.test_a_default_player_state_regenerates_at_the_section_42_base
[PASS] test_engine2_damage.gd.test_a_live_shield_absorbs_whole_and_nothing_carries_over
[PASS] test_engine2_damage.gd.test_apply_delivers_an_item5_context_to_a_hull_sink
[PASS] test_engine2_damage.gd.test_apply_ignores_sinks_that_cannot_be_hit
[PASS] test_engine2_damage.gd.test_apply_reaches_a_player_state_through_its_own_method
[PASS] test_engine2_damage.gd.test_apply_still_lands_on_a_two_argument_sink
[PASS] test_engine2_damage.gd.test_bearing_reads_the_four_arcs_slice_three_will_use
[PASS] test_engine2_damage.gd.test_context_carries_the_three_item5_keys
[PASS] test_engine2_damage.gd.test_context_records_a_vector_impulse_verbatim
[PASS] test_engine2_damage.gd.test_detonate_charges_the_hulls_and_pushes_the_bodies
[PASS] test_engine2_damage.gd.test_knockback_needs_something_to_push
[PASS] test_engine2_damage.gd.test_knockback_pushes_the_pinned_energy_share
[PASS] test_engine2_damage.gd.test_ram_charges_impact_collision_damage_and_records_the_bearing
[PASS] test_engine2_damage.gd.test_ram_is_free_below_the_collision_floor
[PASS] test_engine2_damage.gd.test_regen_frames_add_up_to_the_same_rate
[PASS] test_engine2_damage.gd.test_regen_spends_the_states_own_rate
[PASS] test_engine2_damage.gd.test_regen_stops_at_the_ceiling_and_ignores_a_dead_state
[PASS] test_engine2_damage.gd.test_regen_waits_out_the_four_second_quiet_window
[PASS] test_engine2_damage.gd.test_the_standard_fit_resolves_the_base_plus_the_module
[SUMMARY] passed=20 failed=0
