2026-09-21T13:48:54, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:48:54, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:48:59, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:49:00, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:49:17, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:49:18, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:49:21, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:49:21, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:49:29, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:49:29, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:49:32, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:49:40, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:49:45, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:49:45, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:53:33, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:53:33, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:53:40, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:53:43, MINE, mineral_iron, 1, +0, 1000
2026-09-21T13:53:54, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:19, MINE, mineral_silicon, 1, +0, 1000
2026-09-21T13:54:20, MINE, mineral_silicon, 1, +0, 1000
2026-09-21T13:54:23, MINE, mineral_aluminium, 1, +0, 1000
2026-09-21T13:54:24, MINE, mineral_aluminium, 1, +0, 1000
2026-09-21T13:54:32, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:48, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:48, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:49, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:49, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:51, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:52, MINE, mineral_copper, 1, +0, 1000
2026-09-21T13:54:55, MINE, mineral_chromium, 1, +0, 1000
2026-09-21T14:03:50, REFINE, all, 24, -120, 880
2026-09-21T14:03:53, SELL, mineral_chromium, 1, +13, 893
2026-09-21T14:03:53, SELL, mineral_silicon, 2, +40, 933
2026-09-21T14:03:53, SELL, mineral_aluminium, 2, +48, 981
2026-09-21T14:03:55, SELL, ingot_iron, 4, +196, 1177
2026-09-21T14:03:57, SELL, ingot_copper, 4, +410, 1587
2026-09-21T14:04:24, MINE, mineral_aluminium, 1, +0, 1587
2026-09-21T14:04:24, MINE, mineral_aluminium, 1, +0, 1587
2026-09-21T14:04:32, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:04:34, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:04:35, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:04:36, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:04:38, MINE, mineral_aluminium, 1, +0, 1587
2026-09-21T14:04:40, MINE, mineral_aluminium, 1, +0, 1587
2026-09-21T14:04:43, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:04:46, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:44:21, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:44:27, MINE, mineral_silicon, 1, +0, 1587
2026-09-21T14:44:32, MINE, mineral_aluminium, 1, +0, 1587
2026-09-21T14:44:37, MINE, mineral_iron, 1, +0, 1587
2026-09-21T14:44:40, MINE, mineral_aluminium, 1, +0, 1587
2026-09-21T14:44:50, MINE, mineral_chromium, 1, +0, 1587
2026-09-21T14:44:52, MINE, mineral_aluminium, 1, +0, 1587
2026-09-21T14:47:58, REFINE, all, 12, -60, 1527
2026-09-21T14:48:00, SELL, mineral_iron, 1, +1, 1528
2026-09-21T14:48:00, SELL, mineral_chromium, 1, +8, 1536
2026-09-21T14:48:00, SELL, mineral_silicon, 2, +25, 1561
2026-09-21T14:48:00, SELL, mineral_aluminium, 1, +21, 1582
2026-09-21T14:48:05, SELL, ingot_silicon, 2, +111, 1693
2026-09-21T14:48:06, SELL, ingot_aluminium, 2, +209, 1902
2026-09-21T14:48:30, MINE, mineral_chromium, 1, +0, 1902
2026-09-21T14:48:30, MINE, mineral_chromium, 1, +0, 1902
2026-09-21T14:48:33, MINE, mineral_copper, 1, +0, 1902
2026-09-21T14:48:45, MINE, mineral_iron, 1, +0, 1902
2026-09-21T14:48:45, MINE, mineral_iron, 1, +0, 1902
2026-09-21T14:48:50, MINE, mineral_aluminium, 1, +0, 1902
2026-09-21T14:48:52, MINE, mineral_copper, 1, +0, 1902
2026-09-21T14:48:52, MINE, mineral_copper, 1, +0, 1902
2026-09-21T14:48:54, MINE, mineral_copper, 1, +0, 1902
2026-09-21T14:48:57, MINE, mineral_iron, 1, +0, 1902
2026-09-21T14:49:02, MINE, mineral_iron, 1, +0, 1902
2026-09-21T14:49:04, MINE, mineral_iron, 1, +0, 1902
2026-09-21T14:49:05, MINE, mineral_iron, 1, +0, 1902
2026-09-21T14:49:08, MINE, mineral_silicon, 1, +0, 1902
2026-09-21T14:49:13, MINE, mineral_aluminium, 1, +0, 1902
2026-09-21T14:49:17, MINE, mineral_aluminium, 1, +0, 1902
2026-09-21T14:49:27, MINE, mineral_aluminium, 1, +0, 1902
2026-09-21T14:49:29, MINE, mineral_aluminium, 1, +0, 1902
2026-09-21T14:49:29, MINE, mineral_aluminium, 1, +0, 1902
2026-09-21T14:49:30, MINE, mineral_aluminium, 1, +0, 1902
2026-09-21T14:49:35, MINE, mineral_aluminium, 1, +0, 1902
