path	action	new_name	evidence	note
raw/env_asteroid_b__keyed.png	keep	env_asteroid_b__keyed	keyed-reference	output of the discarded v1 matte, held as a reference and never shipped
raw/env_pickup__keyed.png	keep	env_pickup__keyed	keyed-reference	output of the discarded v1 matte, held as a reference and never shipped
raw/env_prop__keyed.png	keep	env_prop__keyed	keyed-reference	output of the discarded v1 matte, held as a reference and never shipped
raw/icons/panel_alt_metal_button_plates_four__keyed.png	keep	panel_alt_metal_button_plates_four__keyed	keyed-reference	output of the discarded v1 matte, held as a reference and never shipped
raw/logo_vajb_orbit__keyed.png	keep	logo_vajb_orbit__keyed	keyed-reference	output of the discarded v1 matte, held as a reference and never shipped
raw/ui/ui_bar_caps_sheet__keyed.png	keep	ui_bar_caps_sheet__keyed	keyed-reference	output of the discarded v1 matte, held as a reference and never shipped
raw/ui/ui_panel_frame_alt__keyed.png	keep	ui_panel_frame_alt__keyed	keyed-reference	output of the discarded v1 matte, held as a reference and never shipped
raw/icons/booster/icon_booster.png	rename	panel_boosters	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/contract/icon_contract.png	rename	panel_contracts	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/ingot/icon_ingot.png	rename	panel_minerals_ingot	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/map/icon_map.png	rename	panel_map_markers	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/mineral/icon_mineral.png	rename	panel_minerals_ore	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/panel_alt_hexagonal_insignia_set.png	rename	panel_faction_insignia	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/service/icon_service.png	rename	panel_service_glyphs	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/slot/icon_slot.png	rename	panel_slots	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
raw/icons/status/icon_status.png	rename	panel_status	icons-spec-8	the specs name this sheet as the panel master of the glyph set it produced
cut/icons/alt/icon_alt_flame_leaf_insignia.png	rename	icon_insignia_choir	icons-spec-8.5	the flame-tongue read is Choir
cut/icons/alt/icon_alt_split_hex_insignia.png	rename	icon_insignia_meridian	icons-spec-8.5	the split hexagon read is Meridian
cut/icons/alt/icon_alt_three_slat_insignia.png	rename	icon_insignia_concord	icons-spec-8.5	the three-stacked-bar read is Concord, in the spec's cell order
