path	issue	family	current_name	role	kind	subject	detail	sheet	cell	of	grid	sheet_objects_in_reading_order
raw/deep-space-nebula-veil-a-single-square.png	content-mismatch	unknown	deep-space-nebula-veil-a-single-square	sheet	ship	fleet of dark warships		raw/deep-space-nebula-veil-a-single-square.png			1x1	large central capital ship
raw/full-screen-vignette-burnt-ember-c8461.png	content-mismatch	unknown	full-screen-vignette-burnt-ember-c8461	sheet	ship	massive fortified space battleship		raw/full-screen-vignette-burnt-ember-c8461.png			1x1	fortified space battleship
raw/seamless-tileable-foreground-dust-layer.png	content-mismatch	unknown	seamless-tileable-foreground-dust-layer	sheet	ship	large damaged spaceship in space		raw/seamless-tileable-foreground-dust-layer.png			1x1	large damaged spaceship
raw/seamless-tileable-starfield-layer-a-fla.png	content-mismatch	unknown	seamless-tileable-starfield-layer-a-fla	sheet	ship	weathered sci-fi combat starship		raw/seamless-tileable-starfield-layer-a-fla.png			1x1	weathered combat starship
raw/seamless-tileable-void-haze-layer-soft.png	content-mismatch	unknown	seamless-tileable-void-haze-layer-soft	sheet	ship	space fleet in nebula		raw/seamless-tileable-void-haze-layer-soft.png			1x1	large central battleship | top right heavy cruiser | top center escort ship | bottom left light cruiser | center small escort | bottom center small escort | top left small escort | right small escort | bottom right tiny escort
raw/seamless-tileable-void-haze-texture-abs.png	content-mismatch	unknown	seamless-tileable-void-haze-texture-abs	sheet	ship	large weathered sci-fi battlecruiser		raw/seamless-tileable-void-haze-texture-abs.png			1x1	weathered grey battlecruiser
raw/single-thin-horizontal-ember-streak-bur.png	content-mismatch	unknown	single-thin-horizontal-ember-streak-bur	sheet	ship	weathered spaceship with ember exhaust		raw/single-thin-horizontal-ember-streak-bur.png			1x1	weathered spaceship ember exhaust
raw/small-radial-ember-glow-orb-soft-radial.png	content-mismatch	unknown	small-radial-ember-glow-orb-soft-radial	sheet	ship	dark sci-fi spaceship with ember engines		raw/small-radial-ember-glow-orb-soft-radial.png			1x1	heavy industrial spaceship
raw/ui-bar-caps-and-ui-minimap-bezel-one-pa.png	content-mismatch	unknown	ui-bar-caps-and-ui-minimap-bezel-one-pa	sheet	ui_frame	dark ui panels and riveted bezel		raw/ui-bar-caps-and-ui-minimap-bezel-one-pa.png			2x1	left bar cap | right bar cap | minimap bezel frame
cut/env_sheet_1x1_20260917_183242.png	placeholder	env	env_sheet_1x1_20260917_183242	plate	ship	battered capital ship	worn hull glowing engines	raw/seamless-tileable-starfield-layer-a-fla.png	1	1	1x1	weathered combat starship
cut/env_sheet_1x1_20260917_183315.png	placeholder	env	env_sheet_1x1_20260917_183315	plate	ship	capital ships	weathered grey hulls with orange lights	raw/seamless-tileable-void-haze-layer-soft.png	1	1	1x1	large central battleship | top right heavy cruiser | top center escort ship | bottom left light cruiser | center small escort | bottom center small escort | top left small escort | right small escort | bottom right tiny escort
cut/env_sheet_1x1_20260917_183347.png	placeholder	env	env_sheet_1x1_20260917_183347	plate	ship	battleship	weathered grey hull orange engines	raw/seamless-tileable-foreground-dust-layer.png	1	1	1x1	large damaged spaceship
cut/env_sheet_1x1_20260917_183847.png	placeholder	env	env_sheet_1x1_20260917_183847	plate	ship	battered capital ship	rusty armored hull glowing engines	raw/seamless-tileable-void-haze-texture-abs.png	1	1	1x1	weathered grey battlecruiser
cut/env_sheet_1x1_20260917_184059.png	placeholder	env	env_sheet_1x1_20260917_184059	plate	backdrop	starfield backdrop	dark starry space texture	raw/seamless-repeating-pattern-wallpaper-tex.png	1	1	1x1	starfield background
cut/env_sheet_1x1_20260917_213632.png	placeholder	env	env_sheet_1x1_20260917_213632	plate	ship	space fleet	dark armored capital ships	raw/deep-space-nebula-veil-a-single-square.png	1	1	1x1	large central capital ship
cut/env_sheet_1x1_20260917_225351.png	placeholder	env	env_sheet_1x1_20260917_225351	plate	structure	industrial mining rig	cylindrical tanks with claw arms	raw/mining-base-structure-a-station-scale-i.png	1	1	1x1	central mining station
cut/env_sheet_1x1_20260917_230055.png	placeholder	env	env_sheet_1x1_20260917_230055	sprite	moon	cracked moon	fractured cratered grey surface	raw/body_ice_moon.png	1	1	1x1	ice moon globe
cut/env_sheet_1x1_20260918_111724.png	placeholder	env	env_sheet_1x1_20260918_111724	plate	station	space station structures	dark sci-fi orbital platforms	raw/sector-backdrop-plate-a-wide-16-9-cinem__20260918-111724.png	1	1	1x1	space station frame
cut/env_sheet_1x1_20260918_111829.png	placeholder	env	env_sheet_1x1_20260918_111829	plate	backdrop	asteroid field	dark space rocks dust	raw/sector-backdrop-plate-a-wide-16-9-cinem__20260918-111829.png	1	1	1x1	asteroid field debris
cut/env_sheet_1x1_20260918_111927.png	placeholder	env	env_sheet_1x1_20260918_111927	plate	backdrop	dark nebula space	dark clouds faint starlight	raw/sector-backdrop-plate-a-wide-16-9-cinem__20260918-111927.png	1	1	1x1	dark nebula cloud
cut/env_sheet_1x1_20260918_112053.png	placeholder	env	env_sheet_1x1_20260918_112053	plate	debris	space debris field	dark wreckage ring border	raw/sector-backdrop-plate-a-wide-16-9-cinem__20260918-112053.png	1	1	1x1	space debris wreckage
cut/env_sheet_1x1_20260918_123247.png	placeholder	env	env_sheet_1x1_20260918_123247	sprite	moon	dark rocky moon	cracked cratered dark surface	raw/f1_ice_moon.png	1	1	1x1	cratered icy moon
cut/fx_sheet_1x1_20260917_183334.png	placeholder	fx	fx_sheet_1x1_20260917_183334	sprite	ship	battered spaceship	rusty freighter with engine exhaust	raw/single-thin-horizontal-ember-streak-bur.png	1	1	1x1	weathered spaceship ember exhaust
cut/fx_sheet_1x1_20260917_183628.png	placeholder	fx	fx_sheet_1x1_20260917_183628	sprite	gate	metal ring gate	glowing orange inner ring	raw/single-small-energy-ring-burnt-ember-c__20260917-183628.png	1	1	1x1	burnt ember energy ring
cut/fx_sheet_1x1_20260917_183734.png	placeholder	fx	fx_sheet_1x1_20260917_183734	plate	ship	battleship	heavy armored vertical warship	raw/full-screen-vignette-burnt-ember-c8461.png	1	1	1x1	fortified space battleship
cut/fx_sheet_1x1_20260917_183824.png	placeholder	fx	fx_sheet_1x1_20260917_183824	sprite	ship	heavy warship	weathered triple engine orange glow	raw/small-radial-ember-glow-orb-soft-radial.png	1	1	1x1	heavy industrial spaceship
