id	name	family	cls	diff_px	marked
1	icon_slot_b	slot	flat-glyph	0	
2	icon_slot_c	slot	flat-glyph	0	
3	icon_slot_engine	slot	flat-glyph	0	
4	icon_slot_h	slot	flat-glyph	0	
5	icon_slot_power	slot	flat-glyph	0	
6	icon_slot_s	slot	flat-glyph	0	
7	icon_slot_u	slot	flat-glyph	0	
8	icon_slot_w	slot	flat-glyph	0	
9	icon_contract_escort	contract	flat-glyph	0	
10	icon_contract_expedition	contract	flat-glyph	0	
11	icon_contract_gather	contract	flat-glyph	0	
12	icon_contract_haul	contract	flat-glyph	0	
13	icon_contract_hunt	contract	flat-glyph	0	
14	icon_service_bounty	service	flat-glyph	0	
15	icon_service_insurance	service	flat-glyph	0	
16	icon_service_vault	service	flat-glyph	0	
17	icon_close	hud	flat-glyph	0	
18	icon_gear	hud	flat-glyph	0	
19	icon_hull	hud	flat-glyph	0	
20	icon_logout	hud	flat-glyph	0	
21	icon_shield	hud	flat-glyph	0	
22	icon_zoom_minus	hud	flat-glyph	0	
23	icon_zoom_plus	hud	flat-glyph	0	
24	icon_cargo_container	cargo	flat-glyph	0	
25	icon_cargo_crate	cargo	flat-glyph	0	
26	icon_cargo_data_core	cargo	flat-glyph	0	
27	icon_cargo_fuel_cell	cargo	flat-glyph	0	
28	icon_cargo_ore	cargo	flat-glyph	0	
29	icon_cargo_salvage	cargo	flat-glyph	0	
30	icon_credits	cargo	flat-glyph	0	
31	icon_ammo	weapon	flat-glyph	0	
32	icon_ammo_laser	weapon	painted	0	
33	icon_ammo_rocket	weapon	painted	0	
34	icon_weapon_cannon	weapon	flat-glyph	0	
35	icon_weapon_laser	weapon	flat-glyph	0	
36	icon_weapon_mine	weapon	flat-glyph	0	
37	icon_weapon_plasma	weapon	flat-glyph	0	
38	icon_weapon_rocket	weapon	flat-glyph	0	
39	icon_module_b_afterburner	module	flat-glyph	0	
40	icon_module_b_fold	module	flat-glyph	0	
41	icon_module_c_ewar	module	flat-glyph	0	
42	icon_module_c_nexus	module	flat-glyph	0	
43	icon_module_c_scanner	module	flat-glyph	0	
44	icon_module_c_target	module	flat-glyph	0	
45	icon_module_c_twin	module	flat-glyph	0	
46	icon_module_e_ion	module	flat-glyph	0	
47	icon_module_e_std	module	flat-glyph	0	
