id	name	family	cls	px	sheet	cell
1	icon_slot_b	slot	flat-glyph	512x512	1	1
2	icon_slot_c	slot	flat-glyph	512x512	1	2
3	icon_slot_engine	slot	flat-glyph	512x512	1	3
4	icon_slot_h	slot	flat-glyph	512x512	1	4
5	icon_slot_power	slot	flat-glyph	512x512	1	5
6	icon_slot_s	slot	flat-glyph	512x512	1	6
7	icon_slot_u	slot	flat-glyph	512x512	1	7
8	icon_slot_w	slot	flat-glyph	512x512	1	8
9	icon_contract_escort	contract	flat-glyph	512x512	1	9
10	icon_contract_expedition	contract	flat-glyph	512x512	1	10
11	icon_contract_gather	contract	flat-glyph	512x512	1	11
12	icon_contract_haul	contract	flat-glyph	512x512	1	12
13	icon_contract_hunt	contract	flat-glyph	512x512	1	13
14	icon_service_bounty	service	flat-glyph	512x512	1	14
15	icon_service_insurance	service	flat-glyph	512x512	1	15
16	icon_service_vault	service	flat-glyph	512x512	1	16
17	icon_close	hud	flat-glyph	512x512	1	17
18	icon_gear	hud	flat-glyph	512x512	1	18
19	icon_hull	hud	flat-glyph	512x512	1	19
20	icon_logout	hud	flat-glyph	512x512	1	20
21	icon_shield	hud	flat-glyph	512x512	1	21
22	icon_zoom_minus	hud	flat-glyph	512x512	1	22
23	icon_zoom_plus	hud	flat-glyph	512x512	1	23
24	icon_cargo_container	cargo	flat-glyph	512x512	1	24
25	icon_cargo_crate	cargo	flat-glyph	512x512	1	25
26	icon_cargo_data_core	cargo	flat-glyph	512x512	1	26
27	icon_cargo_fuel_cell	cargo	flat-glyph	512x512	1	27
28	icon_cargo_ore	cargo	flat-glyph	512x512	1	28
29	icon_cargo_salvage	cargo	flat-glyph	512x512	1	29
30	icon_credits	cargo	flat-glyph	512x512	1	30
31	icon_ammo	weapon	flat-glyph	512x512	2	1
32	icon_ammo_laser	weapon	painted	512x512	2	2
33	icon_ammo_rocket	weapon	painted	512x512	2	3
34	icon_weapon_cannon	weapon	flat-glyph	512x512	2	4
35	icon_weapon_laser	weapon	flat-glyph	512x512	2	5
36	icon_weapon_mine	weapon	flat-glyph	512x512	2	6
37	icon_weapon_plasma	weapon	flat-glyph	512x512	2	7
38	icon_weapon_rocket	weapon	flat-glyph	512x512	2	8
39	icon_module_b_afterburner	module	flat-glyph	512x512	2	9
40	icon_module_b_fold	module	flat-glyph	512x512	2	10
41	icon_module_c_ewar	module	flat-glyph	512x512	2	11
42	icon_module_c_nexus	module	flat-glyph	512x512	2	12
43	icon_module_c_scanner	module	flat-glyph	512x512	2	13
44	icon_module_c_target	module	flat-glyph	512x512	2	14
45	icon_module_c_twin	module	flat-glyph	512x512	2	15
46	icon_module_e_ion	module	flat-glyph	512x512	2	16
47	icon_module_e_std	module	flat-glyph	512x512	2	17
48	icon_module_e_vector	module	flat-glyph	512x512	2	18
49	icon_module_h_composite	module	flat-glyph	512x512	2	19
50	icon_module_h_plate_heavy	module	flat-glyph	512x512	2	20
51	icon_module_h_plate_light	module	flat-glyph	512x512	2	21
52	icon_module_p_core	module	flat-glyph	512x512	2	22
