id,name,keep
1,icon_slot_b,3
2,icon_slot_c,2
3,icon_slot_engine,3
4,icon_slot_h,3
5,icon_slot_power,3
6,icon_slot_s,2
7,icon_slot_u,2
8,icon_slot_w,3
9,icon_contract_escort,1
10,icon_contract_expedition,1
11,icon_contract_gather,3
12,icon_contract_haul,1
13,icon_contract_hunt,3
14,icon_service_bounty,3
15,icon_service_insurance,3
16,icon_service_vault,1
17,icon_close,3
18,icon_gear,3
19,icon_hull,3
20,icon_logout,2
21,icon_shield,3
22,icon_zoom_minus,3
23,icon_zoom_plus,3
24,icon_cargo_container,3
25,icon_cargo_crate,2
26,icon_cargo_data_core,1
27,icon_cargo_fuel_cell,2
28,icon_cargo_ore,3
29,icon_cargo_salvage,3
30,icon_credits,3
31,icon_ammo,1
34,icon_weapon_cannon,1
35,icon_weapon_laser,2
36,icon_weapon_mine,2
37,icon_weapon_plasma,2
38,icon_weapon_rocket,3
39,icon_module_b_afterburner,1
40,icon_module_b_fold,1
41,icon_module_c_ewar,3
42,icon_module_c_nexus,2
43,icon_module_c_scanner,2
44,icon_module_c_target,2
45,icon_module_c_twin,3
46,icon_module_e_ion,3
47,icon_module_e_std,3
48,icon_module_e_vector,2
49,icon_module_h_composite,2
50,icon_module_h_plate_heavy,2
51,icon_module_h_plate_light,2
52,icon_module_p_core,2
53,icon_module_p_mk2,2
54,icon_module_p_std,3
55,icon_module_s_heavy,1
56,icon_module_s_ion,2
57,icon_module_s_light,2
58,icon_module_u_cargo,1
59,icon_module_u_drones,1
60,icon_module_u_holds,3
61,icon_module_u_refine,2
62,icon_module_u_salvage,1
63,icon_module_u_tractor,1
64,icon_module_w_mining,2
65,icon_module_w_railgun,2
66,icon_mineral_aluminium,3
67,icon_mineral_cerulite,3
68,icon_mineral_chromium,3
69,icon_mineral_cobalt,2
70,icon_mineral_copper,3
71,icon_mineral_emberite,2
72,icon_mineral_gold,2
73,icon_mineral_iridium,2
74,icon_mineral_iron,3
75,icon_mineral_krilium,2
76,icon_mineral_neodymium,2
77,icon_mineral_nickel,3
78,icon_mineral_osmium,2
79,icon_mineral_palladium,2
80,icon_mineral_platinum,3
81,icon_mineral_silicon,3
82,icon_mineral_silver,3
83,icon_mineral_titanium,2
84,icon_mineral_tungsten,2
85,icon_mineral_voidglass,3
86,icon_ingot_aluminium,2
87,icon_ingot_cerulite,3
88,icon_ingot_chromium,3
89,icon_ingot_cobalt,3
90,icon_ingot_copper,3
91,icon_ingot_emberite,3
92,icon_ingot_gold,2
93,icon_ingot_iridium,2
94,icon_ingot_iron,3
95,icon_ingot_krilium,2
96,icon_ingot_neodymium,2
97,icon_ingot_nickel,2
98,icon_ingot_osmium,2
99,icon_ingot_palladium,2
100,icon_ingot_platinum,3
101,icon_ingot_silicon,3
102,icon_ingot_silver,3
103,icon_ingot_titanium,3
104,icon_ingot_tungsten,3
105,icon_ingot_voidglass,3
147,icon_alt_barred_container_silhouette,2
148,icon_alt_barred_rectangular_module,3
149,icon_alt_battery_cells,3
155,icon_alt_buckled_crate_module,2
157,icon_alt_chevron_engine_module,2
159,icon_alt_chevron_striped_canister,3
164,icon_alt_claw_hook,3
168,icon_alt_crossed_frame,2
169,icon_alt_crosshair_target_reticle,3
174,icon_alt_diamond_box_module,2
176,icon_alt_dish_antenna_signal,2
177,icon_alt_dome_arch_module,3
178,icon_alt_double_arrow_marker,2
182,icon_alt_double_window_panels,2
188,icon_alt_flame_emblem,3
189,icon_alt_flared_tower_silhouette,3
202,icon_alt_hangar_fighters,3
204,icon_alt_hopper_funnel,3
207,icon_alt_launching_pad,2
209,icon_alt_missile_crosshair,3
213,icon_alt_octagonal_ring_module,2
214,icon_alt_open_clamp_module,2
219,icon_alt_part_4,2
220,icon_alt_part_4_2,3
221,icon_alt_part_6,2
228,icon_alt_robotic_arm,3
237,icon_alt_side_podded_module,3
251,icon_alt_stacked_plate_layers,3
259,icon_alt_three_horizontal_bars,2
261,icon_alt_thruster_exhaust,3
262,icon_alt_trapezoid_cup_module,3
269,icon_alt_winged_tower_emitter,3
