id	name	family
1	icon_slot_b	slot
2	icon_slot_c	slot
3	icon_slot_engine	slot
4	icon_slot_h	slot
5	icon_slot_power	slot
6	icon_slot_s	slot
7	icon_slot_u	slot
8	icon_slot_w	slot
9	icon_contract_escort	contract
10	icon_contract_expedition	contract
11	icon_contract_gather	contract
12	icon_contract_haul	contract
13	icon_contract_hunt	contract
14	icon_service_bounty	service
15	icon_service_insurance	service
16	icon_service_vault	service
17	icon_close	hud
18	icon_gear	hud
19	icon_hull	hud
20	icon_logout	hud
21	icon_shield	hud
22	icon_zoom_minus	hud
23	icon_zoom_plus	hud
24	icon_cargo_container	cargo
25	icon_cargo_crate	cargo
26	icon_cargo_data_core	cargo
27	icon_cargo_fuel_cell	cargo
28	icon_cargo_ore	cargo
29	icon_cargo_salvage	cargo
30	icon_credits	cargo
31	icon_ammo	weapon
34	icon_weapon_cannon	weapon
35	icon_weapon_laser	weapon
36	icon_weapon_mine	weapon
37	icon_weapon_plasma	weapon
38	icon_weapon_rocket	weapon
39	icon_module_b_afterburner	module
40	icon_module_b_fold	module
41	icon_module_c_ewar	module
42	icon_module_c_nexus	module
43	icon_module_c_scanner	module
44	icon_module_c_target	module
45	icon_module_c_twin	module
46	icon_module_e_ion	module
47	icon_module_e_std	module
48	icon_module_e_vector	module
49	icon_module_h_composite	module
50	icon_module_h_plate_heavy	module
51	icon_module_h_plate_light	module
52	icon_module_p_core	module
53	icon_module_p_mk2	module
54	icon_module_p_std	module
55	icon_module_s_heavy	module
56	icon_module_s_ion	module
57	icon_module_s_light	module
58	icon_module_u_cargo	module
59	icon_module_u_drones	module
60	icon_module_u_holds	module
61	icon_module_u_refine	module
62	icon_module_u_salvage	module
63	icon_module_u_tractor	module
64	icon_module_w_mining	module
65	icon_module_w_railgun	module
66	icon_mineral_aluminium	mineral
67	icon_mineral_cerulite	mineral
68	icon_mineral_chromium	mineral
69	icon_mineral_cobalt	mineral
70	icon_mineral_copper	mineral
71	icon_mineral_emberite	mineral
72	icon_mineral_gold	mineral
73	icon_mineral_iridium	mineral
74	icon_mineral_iron	mineral
75	icon_mineral_krilium	mineral
76	icon_mineral_neodymium	mineral
77	icon_mineral_nickel	mineral
78	icon_mineral_osmium	mineral
79	icon_mineral_palladium	mineral
80	icon_mineral_platinum	mineral
81	icon_mineral_silicon	mineral
82	icon_mineral_silver	mineral
83	icon_mineral_titanium	mineral
84	icon_mineral_tungsten	mineral
85	icon_mineral_voidglass	mineral
86	icon_ingot_aluminium	ingot
87	icon_ingot_cerulite	ingot
88	icon_ingot_chromium	ingot
89	icon_ingot_cobalt	ingot
90	icon_ingot_copper	ingot
91	icon_ingot_emberite	ingot
92	icon_ingot_gold	ingot
93	icon_ingot_iridium	ingot
94	icon_ingot_iron	ingot
95	icon_ingot_krilium	ingot
96	icon_ingot_neodymium	ingot
97	icon_ingot_nickel	ingot
98	icon_ingot_osmium	ingot
99	icon_ingot_palladium	ingot
100	icon_ingot_platinum	ingot
101	icon_ingot_silicon	ingot
102	icon_ingot_silver	ingot
103	icon_ingot_titanium	ingot
104	icon_ingot_tungsten	ingot
105	icon_ingot_voidglass	ingot
147	icon_alt_barred_container_silhouette	alt
148	icon_alt_barred_rectangular_module	alt
149	icon_alt_battery_cells	alt
155	icon_alt_buckled_crate_module	alt
157	icon_alt_chevron_engine_module	alt
159	icon_alt_chevron_striped_canister	alt
164	icon_alt_claw_hook	alt
168	icon_alt_crossed_frame	alt
169	icon_alt_crosshair_target_reticle	alt
174	icon_alt_diamond_box_module	alt
176	icon_alt_dish_antenna_signal	alt
177	icon_alt_dome_arch_module	alt
178	icon_alt_double_arrow_marker	alt
182	icon_alt_double_window_panels	alt
188	icon_alt_flame_emblem	alt
189	icon_alt_flared_tower_silhouette	alt
202	icon_alt_hangar_fighters	alt
204	icon_alt_hopper_funnel	alt
207	icon_alt_launching_pad	alt
209	icon_alt_missile_crosshair	alt
213	icon_alt_octagonal_ring_module	alt
214	icon_alt_open_clamp_module	alt
219	icon_alt_part_4	alt
220	icon_alt_part_4_2	alt
221	icon_alt_part_6	alt
228	icon_alt_robotic_arm	alt
237	icon_alt_side_podded_module	alt
251	icon_alt_stacked_plate_layers	alt
259	icon_alt_three_horizontal_bars	alt
261	icon_alt_thruster_exhaust	alt
262	icon_alt_trapezoid_cup_module	alt
269	icon_alt_winged_tower_emitter	alt
